Variant	Single change	Delivered/20	Missing	Median_ms	WifiReady	Encode	Sendto	Nonce	Verdict
B0	no cache, 0ms pre-delay	15	5	2170	20	20	20	20	DEGRADES
B1	no cache, 200ms pre-delay	18	2	2390	20	20	20	20	OK
C1	BSSID only	20	0	2390	20	20	20	20	OK
C2	CHANNEL only	20	0	2390	20	20	20	20	OK
C3	BSSID+CHANNEL	19	1	2390	20	20	20	20	OK
C4	FAST_SCAN only	18	2	2390	20	20	20	20	OK
C5	STATIC_IP only	17	3	850	20	20	20	20	DEGRADES
C6	STATIC_IP+ARP (dep C5)	20	0	850	20	20	20	20	OK
C7	BSSID+STATIC_IP	19	1	850	20	20	20	20	OK
C8	CHANNEL+STATIC_IP	20	0	850	20	20	20	20	OK
P1	PS_MAX_MODEM	20	0	2400	20	20	20	20	OK
P2	AMPDU_OFF	18	2	2390	20	20	20	20	OK
P3	FIXED_1M	20	0	2430	20	20	20	20	OK
