variant	AP	sdkconfig	CPU	teardown	RX/attempts	loss %	E_mean	E_median	E_p90	wake_mean	wake_median	wake_p90	connect failures	reconnects	PASS
A_SKIP_CPU80_STOP	chirkov	SKIP_VALIDATE	80	STOP_MINIMAL	98/100	2.00	136.826	102.964	230.921	478.1	363.7	761.4			YES
B_SKIP_CPU160_STOP	chirkov	SKIP_VALIDATE	160	STOP_MINIMAL	98/100	2.00	129.180	104.201	138.541	435.2	358.5	449.0			YES
C_NOSKIP_CPU80_STOP	chirkov	NO_SKIP	80	STOP_MINIMAL	100/100	0.00	215.307	149.391	441.866	872.0	660.4	1597.9			YES
D_SKIP_CPU80_FULL	chirkov	SKIP_VALIDATE	80	FULL	99/100	1.00	118.490	101.483	130.123	424.3	369.0	449.2			YES
E_SKIP_CPU160_FULL	chirkov	SKIP_VALIDATE	160	FULL	98/100	2.00	131.834	107.574	142.690	442.0	363.1	461.9			YES
F_NOSKIP_CPU80_FULL	chirkov	NO_SKIP	None	None	None/None										NO
LONG1000_AETHERNETIO	aethernetio	SKIP_VALIDATE	80	FULL	973/1000	2.70	143.577	117.110	132.813	518.6	435.9	476.7			YES
LONG1000_CHIRKOV	chirkov	SKIP_VALIDATE	80	FULL	961/1000	3.90	198.315	170.261	218.101	685.9	572.5	744.5			YES
P0_FULL_AETHERNETIO	aethernetio	SKIP_VALIDATE	80	FULL	93/100	7.00	129.208	127.593	151.353	470.2	459.5	529.3			YES
P0_FULL_CHIRKOV	chirkov	SKIP_VALIDATE	80	FULL	99/100	1.00	103.899	97.079	119.297	379.4	362.3	414.7			YES
P1_STOP_SAFE_AETHERNETIO	aethernetio	SKIP_VALIDATE	80	STOP_FULL_SAFE	100/100	0.00	129.212	117.836	143.523	459.4	420.6	495.5			YES
P1_STOP_SAFE_CHIRKOV	chirkov	SKIP_VALIDATE	80	STOP_FULL_SAFE	99/100	1.00	116.893	100.134	122.805	413.2	358.2	428.5			YES
P2_STOP_MIN_AETHERNETIO	aethernetio	SKIP_VALIDATE	80	STOP_MINIMAL	95/100	5.00	141.431	121.076	136.995	497.9	429.7	475.9			YES
P2_STOP_MIN_CHIRKOV	chirkov	SKIP_VALIDATE	80	STOP_MINIMAL	98/100	2.00	164.590	101.211	147.325	615.7	363.4	498.6			YES
SLEEP60_AETHERNETIO	aethernetio	SKIP_VALIDATE	80	FULL	27/30	10.00									YES
SLEEP60_CHIRKOV	chirkov	SKIP_VALIDATE	80	FULL	27/30	10.00									YES
