variant	AP	factors	RX	E_mean	E_median	E_p90	wake_mean	wake_median	wake_p90	delta_mean	delta_median	PASS
CFM00_A0_CHIRKOV_BEFORE	chirkov	(baseline A0 infrastructure)	99	175.98	152.38	182.40	727.9	659.8	748.8	-7.9	-1.5	YES
CFM01_B1_SKIP_VALIDATE	chirkov	BOOTLOADER_SKIP_VALIDATE_IN_DEEP_SLEEP	94	122.97	105.54	129.96	420.7	360.8	438.6	24.6	29.7	YES
CFM02R_B2_DISC_PM_OFF	chirkov	STA_DISCONNECTED_PM=OFF	98	248.11	155.37	190.67	947.6	664.8	742.3	-52.2	-3.5	YES
CFM03_B3_WIFI_PS_MIN	chirkov	WIFI_PS_MIN	100	228.98	149.43	175.55	886.0	639.4	701.8	-40.5	0.4	YES
CFM04_B7_CPU80	chirkov	CPU80	99	149.50	147.27	158.33	661.1	655.4	687.9	8.3	1.9	YES
CFM05_A0_CHIRKOV_AFTER	chirkov	(baseline A0 infrastructure)	100	150.07	147.81	162.52	647.2	644.7	680.7	7.9	1.5	YES
CFM06_IO_TEARDOWN_CHIRKOV	chirkov	IO_TEARDOWN=DirectDeepSleep(skip wifi stop/deinit)	96	501.63	504.08	518.07	1747.7	1764.0	1796.5	-207.7	-235.8	YES
CFM10R_A0_AETHERNETIO_BEFORE	aethernetio	(baseline A0 infrastructure)	100	168.19	153.55	178.14	698.4	664.8	743.2	-2.6	-0.1	YES
CFM11_IO_TEARDOWN_AETHERNETIO	aethernetio	IO_TEARDOWN=DirectDeepSleep(skip wifi stop/deinit)	100	115.44	113.99	123.37	566.4	562.7	578.7	29.6	25.7	YES
CFM12_A0_AETHERNETIO_AFTER	aethernetio	(baseline A0 infrastructure)	98	159.57	153.33	167.55	695.9	660.5	712.5	2.6	0.1	YES
CFM40_SKIP_CPU80	chirkov	BOOTLOADER_SKIP_VALIDATE_IN_DEEP_SLEEP,SKIP_VALIDATE,CPU80	98	113.94	102.88	123.53	409.7	373.0	427.1	30.1	31.5	YES
CFM40_SKIP_CPU80_AETHERNETIO	aethernetio	BOOTLOADER_SKIP_VALIDATE_IN_DEEP_SLEEP,SKIP_VALIDATE,CPU80	100	130.83	126.11	153.89	473.7	460.5	545.6	20.2	17.8	YES
CFM40_SKIP_CPU80_REPEAT	chirkov	BOOTLOADER_SKIP_VALIDATE_IN_DEEP_SLEEP,SKIP_VALIDATE,CPU80	91	118.67	101.01	124.72	425.6	363.4	447.9	27.2	32.7	YES
