key	ap	variant_id	variant_name	status	n_cycles	hot_unique	energy_mJ_median	energy_mJ_mean	energy_mJ_p90	vs_baseline	duration_ms_median	mean_uA	total_wake_energy_mJ	csv_mb	error
0_chirkov	chirkov	0	A0_CLEAN	OK	98	100	118.6138	127.4824	138.2194	1.000	441.43	89688.1	12493.28	559.0	
10_chirkov	chirkov	10	B1_SKIP_VALIDATE_DEEP_SLEEP	OK	98	96	98.5112	99.1947	107.9187	0.831	353.46	92745.0	9721.08	511.2	
11_chirkov	chirkov	11	B2_DISC_PM_OFF	OK	98	99	100.8537	108.3423	120.0604	0.850	353.29	94606.5	10617.55	513.6	
12_chirkov	chirkov	12	B3_WIFI_PS_MIN	OK	98	93	99.1532	118.2581	122.2632	0.836	353.35	95235.5	11589.29	522.1	
13_chirkov	chirkov	13	B4_WIFI_PS_MAX_LI1	OK	98	100	104.8336	197.8141	145.4179	0.884	363.19	96728.8	19385.78	599.7	
14_chirkov	chirkov	14	B5_WIFI_PS_MAX_LI3	OK	98	91	102.1126	111.5399	115.2545	0.861	353.69	94236.8	10930.91	514.8	
15_chirkov	chirkov	15	B6_CPU120	OK	98	92	101.2993	149.2695	116.7129	0.854	353.84	94597.3	14628.41	544.5	
16_chirkov	chirkov	16	B7_CPU80	OK	98	96	101.2739	107.9348	113.7443	0.854	353.80	95451.3	10577.61	511.0	
17_chirkov	chirkov	17	B8_CPU40	OK	98	99	105.7179	158.4255	121.7189	0.891	354.31	97372.3	15525.70	551.9	
18_chirkov	chirkov	18	B9_PMF_OFF	OK	98	99	103.0829	259.2557	140.0528	0.869	357.06	96891.0	25407.06	618.1	
19_chirkov	chirkov	19	B10_ENCODE_DURING_ASSOCIATION	OK	98	99	106.8279	124.2509	132.1605	0.901	362.27	99145.0	12176.59	526.0	
20_chirkov	chirkov	20	B11_WIFI_STOP_ONLY	OK	98	100	104.0893	110.9951	120.9295	0.878	353.76	97663.7	10877.52	513.4	
21_chirkov	chirkov	21	B12_DIRECT_DEEP_SLEEP	OK	98	100	458.7926	453.3554	472.6533	3.868	1478.75	103276.2	44428.83	774.7	
22_chirkov	chirkov	22	B13_PHY_PARTIAL_EVERY_WAKE	OK	98	99	101.5980	105.6271	116.1484	0.857	353.22	95387.2	10351.46	516.0	
100_chirkov	chirkov	100	C1_CPU_MIN	OK	98	96	103.6317	122.4602	128.3461	0.874	362.90	95807.2	12001.09	523.4	
101_chirkov	chirkov	101	C2_CPU_MAX_LI1	OK	98	94	102.7899	119.2850	130.6174	0.867	360.44	95909.4	11689.93	519.8	
110_chirkov	chirkov	110	C3_ALS_NONE	OK	98	99	104.2664	114.4789	125.9306	0.879	363.15	96218.7	11218.94	515.7	
111_chirkov	chirkov	111	C4_ALS_MIN	OK	98	100	103.8908	107.4223	122.4944	0.876	362.75	95870.8	10527.38	513.6	
112_chirkov	chirkov	112	C5_ALS_MAX_LI1	OK	98	98	104.0020	110.6377	121.2750	0.877	357.96	96122.6	10842.49	514.4	
120_chirkov	chirkov	120	C6_PRE_MIN_TO_NONE	OK	98	100	104.2847	113.1303	128.5841	0.879	362.02	96376.9	11086.77	519.1	
121_chirkov	chirkov	121	C7_PRE_MAX_TO_NONE	OK	98	98	106.6578	125.0965	128.0686	0.899	362.58	97064.0	12259.46	524.2	
130_chirkov	chirkov	130	C8_ENCODE_CPU80	OK	98	94	106.2280	122.2497	125.3278	0.896	353.68	99645.0	11980.47	535.6	
131_chirkov	chirkov	131	C9_PMF_OFF_CPU80	OK	98	98	105.8662	118.6708	129.9823	0.893	363.70	97210.0	11629.73	517.9	
140_chirkov	chirkov	140	C10_TEARDOWN_MATRIX	OK	98	78	464.0675	463.4958	485.5358	3.912	1485.45	104202.8	45422.59	894.9	
150_chirkov	chirkov	150	C11_PHY_FINAL	OK	98	99	102.3603	107.2453	115.1513	0.863	353.85	95118.7	10510.04	510.9	
200_aethernetio	aethernetio	200	IO_A0	OK	98	93	122.3188	214.1248	878.1395	1.031	430.44	95068.3	20984.23	588.8	
201_aethernetio	aethernetio	201	IO_DISC_PM_OFF	OK	98	99	116.9157	176.1843	140.6512	0.986	409.95	94791.7	17266.06	563.4	
202_aethernetio	aethernetio	202	IO_BEST_CPU	OK	98	95	126.7388	178.4680	138.3734	1.068	449.89	94882.2	17489.86	564.0	
203_aethernetio	aethernetio	203	IO_BEST_PS	OK	98	98	125.3743	192.9337	154.5041	1.057	442.66	95351.0	18907.50	572.9	
204_aethernetio	aethernetio	204	IO_BEST_DFS	OK	98	100	126.7244	202.6290	378.0677	1.068	451.55	95217.6	19857.64	579.3	
205_aethernetio	aethernetio	205	IO_BEST_OVERALL	OK	98	98	124.9884	134.5420	145.9172	1.054	414.37	100814.7	13185.11	527.7	
206_aethernetio	aethernetio	206	IO_TEARDOWN	OK	98	100	82.3085	99.5792	98.0841	0.694	322.04	86894.9	9758.76	512.0	
207_aethernetio	aethernetio	207	IO_PMF_OFF	OK	98	100	119.7814	129.9034	132.2151	1.010	434.17	93064.8	12730.53	531.3	
208_aethernetio	aethernetio	208	IO_PHY	OK	98	100	122.8959	120.9077	135.5967	1.036	429.94	94222.3	11848.96	524.3	
