sequence,duration_ms,charge_mC,energy_mJ,peak_current_mA,udp_received,valid
1,4833.74,512.192746318607,1536.5782389558208,1255.7443145190177,1,1
2,,,,,0,0
3,,,,,0,0
4,,,,,0,0
5,,,,,0,0
6,,,,,0,0
7,,,,,0,0
8,3610.99999999999,355.4890931533317,1066.467279459995,1136.7564999797955,1,1
9,13812.000000000011,1399.6068561376085,4198.820568412825,1293.1082111211672,1,0
10,,,,,0,0
11,,,,,0,0
12,,,,,0,0
13,,,,,0,0
14,,,,,0,0
15,,,,,0,0
16,,,,,0,0
17,,,,,0,0
18,,,,,0,0
19,,,,,0,0
20,,,,,0,0
21,,,,,0,0
22,,,,,0,0
23,,,,,0,0
24,,,,,0,0
25,,,,,0,0
26,,,,,0,0
27,5032.999999999902,497.53929498022706,1492.617884940681,1300.0747303936057,1,1
28,,,,,0,0
29,,,,,0,0
30,,,,,0,0
31,,,,,0,0
32,,,,,0,0
33,14971.99999999998,1545.3130089442598,4635.939026832779,1375.2639334271134,1,0
34,,,,,0,0
35,,,,,0,0
36,,,,,0,0
37,,,,,0,0
38,13751.999999999953,1399.2701574739629,4197.810472421888,1420.111409522499,1,0
39,,,,,0,0
40,,,,,0,0
41,,,,,0,0
42,,,,,0,0
43,,,,,0,0
44,,,,,0,0
45,,,,,0,0
46,,,,,0,0
47,,,,,0,0
48,,,,,0,0
49,,,,,0,0
50,,,,,0,0
51,,,,,0,0
52,,,,,0,0
53,,,,,0,0
54,,,,,0,0
55,8981.99999999997,402.7802175270066,1208.3406525810196,1356.8532720274422,1,1
56,,,,,0,0
57,,,,,0,0
58,,,,,0,0
59,,,,,0,0
60,,,,,0,0
61,,,,,0,0
62,,,,,0,0
63,,,,,0,0
64,,,,,0,0
65,,,,,0,0
66,15029.999999999745,1584.515092791325,4753.545278373975,1254.0097890062175,1,0
67,13514.000000000124,1413.0448019013243,4239.134405703973,1247.0746470822291,1,0
68,,,,,0,0
69,,,,,0,0
70,,,,,0,0
71,,,,,0,0
72,,,,,0,0
73,,,,,0,0
74,,,,,0,0
75,14653.000000000247,1542.0691632219862,4626.207489665959,1435.1033420591773,1,0
76,,,,,0,0
77,,,,,0,0
78,,,,,0,0
79,,,,,0,0
80,,,,,0,0
81,,,,,0,0
82,,,,,0,0
83,,,,,0,0
84,,,,,0,0
85,,,,,0,0
86,,,,,0,0
87,,,,,0,0
88,,,,,0,0
89,,,,,0,0
90,,,,,0,0
91,,,,,0,0
92,,,,,0,0
93,,,,,0,0
94,,,,,0,0
95,,,,,0,0
96,,,,,0,0
97,,,,,0,0
98,,,,,0,0
99,,,,,0,0
100,,,,,0,0
