sequence,duration_ms,charge_mC,energy_mJ,peak_current_mA,udp_received,valid
1,726.34,63.847063606099205,191.54119081829762,1274.8436319994203,1,1
2,664.0000000000015,52.294627248935385,156.88388174680614,1233.2185718448704,1,1
3,971.9999999999942,73.26190880283424,219.78572640850274,1287.8864298004116,1,1
4,782.999999999987,70.04458712099041,210.13376136297126,1216.7890885579593,1,1
5,766.0000000000196,61.42621212360242,184.27863637080725,1314.894309523352,1,1
6,,,,,0,0
7,632.9999999999814,61.17895953847499,183.53687861542497,1239.2782736610354,1,1
8,3997.9999999999905,427.03117774824665,1281.09353324474,1445.698759226677,1,1
9,617.999999999995,59.41406868946687,178.2422060684006,1247.9412808115965,1,1
10,625.9999999999764,67.16190413695756,201.48571241087268,1279.18938118691,1,1
11,,,,,0,0
12,1072.0000000000027,63.8586200001652,191.5758600004956,1350.7236372058883,1,1
13,,,,,0,0
14,620.9999999999809,57.820147939255975,173.46044381776792,940.7352237506673,1,1
15,,,,,0,0
16,1908.9999999999918,203.7304146639514,611.1912439918542,1232.3531961695685,1,1
17,,,,,0,0
18,629.0000000000191,59.83379555226117,179.50138665678352,1100.8225493155012,1,1
19,598.9999999999327,66.32600522119063,198.97801566357188,1260.9496671337456,1,1
20,,,,,0,0
21,1912.0000000000346,214.3561021071061,643.0683063213182,1182.2880264435387,1,1
22,1116.9999999999618,62.48366878643579,187.45100635930737,1339.3496500935855,1,1
23,630.9999999998581,60.148463488507154,180.44539046552146,1273.1058503466868,1,1
24,,,,,0,0
25,2021.9999999999345,211.4746248836944,634.4238746510832,1297.4617306425891,1,1
26,,,,,0,0
27,990.9999999999854,58.86418074177167,176.59254222531501,1282.6673125941468,1,1
28,730.0000000000182,55.11990086547018,165.35970259641053,1326.2413594780235,1,1
29,3127.999999999929,320.791821048053,962.3754631441591,1357.7292301575283,1,1
30,617.0000000001892,64.14231572723196,192.42694718169588,1116.2068291989672,1,1
31,574.0000000000691,56.08937437096558,168.26812311289675,1260.9496671337456,1,1
32,,,,,0,0
33,2471.0000000000036,202.84492596535588,608.5347778960677,1349.848271101245,1,1
34,576.9999999999982,61.51528204413488,184.54584613240462,1275.7126338305575,1,1
35,,,,,0,0
36,,,,,0,0
37,,,,,0,0
38,,,,,0,0
39,583.9999999998327,59.2876954342116,177.8630863026348,1273.9747041714636,1,1
40,,,,,0,0
41,1943.99999999996,213.95147161422184,641.8544148426655,1252.2755595061383,1,1
42,722.9999999999563,65.55218113808645,196.65654341425937,1205.5632558126292,1,1
43,2292.9999999996653,212.71073145081715,638.1321943524515,1398.1033015793967,1,1
44,1946.9999999996617,210.3820215012681,631.1460645038043,1160.7849902060245,1,1
45,2119.999999999891,82.55279938766076,247.65839816298228,1360.3575485668682,1,1
46,,,,,0,0
47,623.0000000000473,67.35144132935211,202.05432398805635,1135.8994126606874,1,1
48,583.0000000000837,58.39362041580656,175.18086124741967,1197.7988517653278,1,1
49,,,,,0,0
50,,,,,0,0
51,1927.9999999998836,207.0227172731821,621.0681518195463,1244.4751899132084,1,1
52,,,,,0,0
53,1994.0000000001419,207.75182403312854,623.2554720993857,1615.777145131043,1,1
54,,,,,0,0
55,1031.999999999698,75.0765180364633,225.22955410938988,1492.6226555278763,1,1
56,2034.0000000001055,219.36979476812456,658.1093843043736,1347.2226168063958,1,1
57,645.9999999997308,63.10100092024007,189.3030027607202,962.6010060628462,1,1
58,3130.000000000109,322.2901044614428,966.8703133843285,1272.2370705250903,1,1
59,597.0000000002074,63.85670642640037,191.57011927920112,1014.9443676369932,1,1
60,623.9999999997963,68.312276420061,204.936829260183,1193.4878840725817,1,1
61,653.9999999999964,71.3511317566367,214.0533952699101,1209.8794037279963,1,1
62,643.9999999997781,16.55056779173719,49.65170337521157,1351.5990773137123,1,1
63,,,,,0,0
64,1876.0000000002037,204.0043463535485,612.0130390606455,1199.5237568646878,1,1
65,10599.999999999909,1112.3693487020846,3337.108046106254,1245.3416016330348,1,0
66,858.9999999999236,57.87620263210069,173.62860789630207,1365.616183471416,1,1
67,654.9999999997453,59.80202881343824,179.4060864403147,1421.8740562438152,1,1
68,752.9999999997017,56.36664175257361,169.09992525772083,1270.4997328914387,1,1
69,677.9999999998836,54.43694795200231,163.31084385600695,1358.6052622907944,1,1
70,545.0000000000728,55.88572775611844,167.6571832683553,1146.1893446998838,1,1
71,,,,,0,0
72,1902.0000000000437,201.56274789985522,604.6882436995656,1307.9177258183925,1,1
73,,,,,0,0
74,681.0000000004948,70.31895807754029,210.95687423262086,1348.9729789997814,1,1
75,597.9999999999563,57.680635527041986,173.04190658112594,1212.4699805153803,1,1
76,10632.99999999981,1116.7986681138445,3350.3960043415336,1266.1576838629642,1,0
77,560.0000000004002,53.04579808197492,159.13739424592478,1131.6150861128517,1,1
78,826.0000000000218,68.10171210459234,204.305136313777,1362.1101308556629,1,1
79,2187.0000000008076,215.27693610835993,645.8308083250798,1358.6052622907944,1,1
80,601.0000000005675,51.837684749207064,155.5130542476212,1358.6052622907944,1,1
81,529.0000000004511,49.77018207824434,149.310546234733,1082.9045270871268,1,1
82,7877.999999999702,836.4696795354895,2509.4090386064686,1355.9773879005363,1,0
83,619.9999999998909,58.400545592977714,175.20163677893314,1259.2142535827816,1,1
84,,,,,0,0
85,755.9999999994034,60.04686725308441,180.14060175925323,1346.3475467144738,1,1
86,661.0000000000582,63.00883787532259,189.02651362596777,1303.5597661061522,1,1
87,707.9999999996289,73.42479907079463,220.27439721238392,1327.9881695187546,1,1
88,,,,,0,0
89,603.0000000000655,53.47598236521192,160.42794709563577,1253.1426372545882,1,1
90,7600.000000000364,140.94723074040397,422.84169222121193,1364.7395593127078,1,1
91,695.9999999999127,61.57774726180121,184.7332417854036,1361.2338027096757,1,1
92,734.0000000003783,63.37510586633958,190.12531759901873,1262.6853766974307,1,1
93,,,,,0,0
94,675.9999999994761,55.82816158103939,167.48448474311817,1358.6052622907944,1,1
95,10664.00000000067,1107.2824442588737,3321.8473327766214,1250.5416260187808,1,0
96,2061.999999999898,203.498808309626,610.496424928878,1336.7266599132274,1,1
97,,,,,0,0
98,2180.000000000291,219.9428286911784,659.8284860735351,1279.18938118691,1,1
99,2226.9999999998618,205.56316323868407,616.6894897160522,1362.9865330048308,1,1
100,916.0000000001673,9.268579522267007,27.805738566801022,1343.722780457788,1,1
