cycle,got_ip,got_ip_ms,udp_send_called,udp_send_err,udp_received,active_duration_ms,charge_mC,energy_mJ
1,1,,1,0,1,35000.00000000001,1851.7628831782706,5555.288649534812
2,1,,1,0,1,35000.01,1741.4180568909537,5224.254170672861
3,0,,0,127,0,35000.0,2097.425927646396,6292.277782939187
4,1,,1,0,1,35000.0,1727.1144530896092,5181.343359268828
5,0,,0,127,0,35000.01,2105.2362302637034,6315.708690791111
6,0,,0,127,0,35000.01,2182.0367593100614,6546.110277930184
7,0,,0,127,0,35000.00000000003,2203.1472495330727,6609.441748599218
8,1,,1,0,1,35000.01000000003,1037.7022607604981,3113.1067822814944
9,1,,1,0,1,35000.00999999997,2207.86611695742,6623.59835087226
10,0,,0,127,0,35000.01000000003,2205.643358275915,6616.930074827746
11,0,,0,127,0,35000.00999999997,2182.1452118330794,6546.435635499238
12,0,,0,127,0,35000.01000000003,2205.779045244608,6617.337135733824
13,0,,0,127,0,35000.00999999997,2216.074790953571,6648.224372860714
14,0,,0,127,0,35000.0,1765.0603052313513,5295.180915694054
15,1,,1,0,1,35000.00999999997,1746.948236037603,5240.844708112809
16,1,,1,0,1,35000.00999999997,1995.6535416452718,5986.960624935816
17,0,,0,127,0,35000.0,2202.068886951146,6606.206660853438
18,0,,0,127,0,35000.00000000012,1730.536827559517,5191.61048267855
19,1,,1,0,1,35000.00999999997,1742.0746924821842,5226.224077446553
20,0,,0,127,0,35000.00999999997,1749.6086795134854,5248.8260385404565
21,0,,0,127,0,35000.00999999997,2056.97910340602,6170.93731021806
22,0,,0,127,0,35000.00999999997,2222.5405046169126,6667.621513850738
23,0,,0,127,0,35000.00999999997,2224.4357073509223,6673.307122052767
24,0,,0,127,0,35000.01000000009,2212.5962714500656,6637.788814350197
25,0,,0,127,0,35000.00999999997,2227.9453713791245,6683.836114137373
26,0,,0,127,0,35000.01000000009,2233.891570474918,6701.674711424754
27,0,,0,127,0,35000.00999999997,2234.893803511045,6704.681410533135
28,0,,0,127,0,35000.00999999997,2214.181066192906,6642.543198578718
