cycle,wifi_start,sta_connected,got_ip,disconnected,disconnect_count,first_disconnect_reason,final_disconnect_reason,association_time_ms,dhcp_time_ms,total_connect_time_ms,result_class
1,1,1,0,0,0,0,0,408,,,STA_CONNECTED_BUT_NO_GOT_IP
2,1,0,0,1,1,2,2,,,,DISCONNECTED_BEFORE_STA_CONNECTED
3,1,0,0,1,1,204,204,,,,DISCONNECTED_BEFORE_STA_CONNECTED
4,1,1,0,0,0,0,0,412,,,STA_CONNECTED_BUT_NO_GOT_IP
5,1,1,0,0,0,0,0,398,,,STA_CONNECTED_BUT_NO_GOT_IP
6,1,1,0,0,0,0,0,350,,,STA_CONNECTED_BUT_NO_GOT_IP
7,1,0,0,1,1,4,4,,,,DISCONNECTED_BEFORE_STA_CONNECTED
8,1,1,0,0,0,0,0,1560,,,STA_CONNECTED_BUT_NO_GOT_IP
9,1,1,0,0,0,0,0,456,,,STA_CONNECTED_BUT_NO_GOT_IP
10,1,1,0,0,0,0,0,463,,,STA_CONNECTED_BUT_NO_GOT_IP
11,1,1,0,0,0,0,0,348,,,STA_CONNECTED_BUT_NO_GOT_IP
12,1,1,0,0,0,0,0,513,,,STA_CONNECTED_BUT_NO_GOT_IP
13,1,1,0,0,0,0,0,385,,,STA_CONNECTED_BUT_NO_GOT_IP
14,1,1,0,0,0,0,0,355,,,STA_CONNECTED_BUT_NO_GOT_IP
15,1,1,0,0,0,0,0,373,,,STA_CONNECTED_BUT_NO_GOT_IP
16,1,1,0,0,0,0,0,512,,,STA_CONNECTED_BUT_NO_GOT_IP
17,1,1,0,0,0,0,0,323,,,STA_CONNECTED_BUT_NO_GOT_IP
18,1,1,0,0,0,0,0,379,,,STA_CONNECTED_BUT_NO_GOT_IP
19,1,1,1,0,0,0,0,1174,1541,2715,GOT_IP_SUCCESS
20,1,1,0,0,0,0,0,391,,,STA_CONNECTED_BUT_NO_GOT_IP
21,1,1,0,0,0,0,0,310,,,STA_CONNECTED_BUT_NO_GOT_IP
22,1,1,0,0,0,0,0,460,,,STA_CONNECTED_BUT_NO_GOT_IP
23,1,1,0,0,0,0,0,397,,,STA_CONNECTED_BUT_NO_GOT_IP
24,1,0,0,1,1,204,204,,,,DISCONNECTED_BEFORE_STA_CONNECTED
25,1,1,0,0,0,0,0,368,,,STA_CONNECTED_BUT_NO_GOT_IP
26,1,1,0,0,0,0,0,379,,,STA_CONNECTED_BUT_NO_GOT_IP
27,1,1,0,0,0,0,0,404,,,STA_CONNECTED_BUT_NO_GOT_IP
