variant	setting	delivery/30	wake_overhead_med	wifi_init_med	connect_med	txdone_med	hot_user_med	p90	max	heap_delta	notes
D0_CONTROL	baseline	29/30	40732	16447	143814	6490	250269	320267	410269	46584	n=29;txok=29
D1_STORAGE_RAM	WIFI_STORAGE_RAM	27/30	40736	16404	138933	5606	240270	310257	520259	46584	n=27;txok=27
D2_NVS_OFF	nvs_enable=0	25/30	40770	10623	233508	7721	340259	380256	470264	46480	n=25;txok=25
D3_RAM_NVS_OFF	RAM+nvs_off	25/30	40772	10618	238533	6435	370256	420256	440249	46480	n=25;txok=25
G1_HT20	force HT20	30/30	40752	16360	134263	6306	250271	320269	390269	46584	txok=30
H1_CS_OFF	dynamic_cs=false	26/30	40767	16441	138312	5037	250264	310271	380266	46584	n=26;txok=26
H2_CS_ON	dynamic_cs=true	26/30	40776	16357	141900	5552	270274	320272	820265	46584	n=26;txok=25
E1_TX_HALF	dyn_tx=16	30/30	40772	16433	133819	3138	260266	310269	670262	46584	txok=30
E2_TX_MIN	dyn_tx=8	25/30	40766	16366	136230	4665	250269	310269	340269	46584	n=25;txok=25
E3_RX_HALF	rx 5/16	29/30	40768	16366	132388	5142	250269	310274	1040297	37984	n=29;txok=28
E4_RX_MIN	rx 3/8	26/30	40780	16272	146044	5960	270269	420267	770272	34544	n=26;txok=25
