record_id	kind	outer	hot	user_us	wifi_us	connect_us	txdone_us	teardown_us	sleep_elapsed_us	sleep_overhead_us	app_entry_us	cb_seen	cb_timeout	brownout	auth	seq
1	1	1	0	12669799	12669799	0	0	0	3040747	40747	5424	0	0	0	0	2
2	2	1	1	390271	378793	213437	70941	74685	3040704	40704	5424	1	0	0	3	3
3	2	1	2	250270	238789	120887	3882	93147	3040709	40709	5424	1	0	0	3	4
4	2	1	3	250270	238786	118646	21314	75711	3040690	40690	5424	1	0	0	3	5
5	2	1	4	240272	228785	114186	21320	75706	3040699	40699	5424	1	0	0	3	6
6	2	1	5	230275	218784	118151	7158	79884	3040700	40700	5424	1	0	0	3	7
7	2	1	6	260275	248781	132523	3315	93726	3040685	40685	5424	1	0	0	3	8
8	2	1	7	240270	228774	128190	3664	83365	3040679	40679	5424	1	0	0	3	9
9	2	1	8	260277	248778	146583	8401	78643	3040680	40680	5424	1	0	0	3	10
10	2	1	9	290271	278770	169141	8263	78735	3040737	40737	5424	1	0	0	3	11
11	2	1	10	260274	248769	136564	19629	77373	3040693	40693	5424	1	0	0	3	12
12	2	1	11	250270	238763	154683	5448	61584	3040681	40681	5424	1	0	0	3	13
13	2	1	12	270277	258766	151717	3400	83646	3040729	40729	5424	1	0	0	3	14
14	2	1	13	300277	288764	187893	11605	75119	3040736	40736	5424	1	0	0	3	15
15	2	1	14	240276	228759	137728	15516	61284	3040667	40667	5424	1	0	0	3	16
16	2	1	15	350272	338752	143274	85645	89994	3040724	40724	5424	1	0	0	3	17
17	2	1	16	280280	268758	174425	361	76712	3040717	40717	5424	1	0	0	3	18
18	2	1	17	270277	258751	145698	123	96909	3040737	40737	5424	1	0	0	3	19
19	2	1	18	320275	308748	190673	17514	79448	3040710	40710	5424	1	0	0	3	20
20	2	1	19	280276	268747	117796	35867	101071	3040715	40715	5424	1	0	0	3	21
21	2	1	20	310271	298738	192100	12041	73674	3040724	40724	5424	1	0	0	3	22
23	2	1	22	290278	278738	165958	18234	78569	3040676	40676	5424	1	0	0	3	24
24	2	1	23	240276	228733	118761	5593	80109	3040720	40720	5424	1	0	0	3	25
25	2	1	24	330276	318731	159784	130	136908	3040729	40729	5424	1	0	0	3	26
26	2	1	25	270274	258725	145056	24156	72632	3040737	40737	5424	1	0	0	3	27
27	2	1	26	230278	218727	124751	14863	61950	3040736	40736	5424	1	0	0	3	28
28	2	1	27	420270	408717	299717	14679	72350	3040759	40759	5424	1	0	0	3	29
29	2	1	28	280278	268722	131241	12224	104822	3040712	40712	5424	1	0	0	3	30
30	2	1	29	240277	228854	146012	9444	57508	3040705	40705	5424	1	0	0	3	31
31	2	1	30	440272	428849	363135	984	46045	3040773	40773	5424	1	0	0	3	32
32	2	1	31	280274	268722	172298	3746	73261	3040711	40711	5424	1	0	0	3	33
33	2	1	32	310277	298712	129790	5046	140765	3040758	40758	5424	1	0	0	3	34
34	2	1	33	300274	288706	175126	12651	84298	3040737	40737	5424	1	0	0	3	35
35	2	1	34	390271	378701	226430	25126	111802	3040752	40752	5424	1	0	0	3	36
36	2	1	35	280279	268705	182186	13011	53873	3040764	40764	5424	1	0	0	3	37
37	2	1	36	230278	218701	121716	645	76395	3040713	40713	5424	1	0	0	3	38
38	2	1	37	290270	278690	123816	14280	122748	3040694	40694	5424	1	0	0	3	39
39	2	1	38	240277	228694	123274	15322	71563	3040721	40721	5424	1	0	0	3	40
40	2	1	39	260278	248692	140790	1242	85657	3040733	40733	5424	1	0	0	3	41
41	2	1	40	240271	228682	123450	6319	80673	3040750	40750	5424	1	0	0	3	42
42	2	1	41	220273	208681	124833	10993	55839	3040696	40696	5424	1	0	0	3	43
43	2	1	42	280259	268665	144574	47225	59687	3040753	40753	5424	1	0	0	3	44
