metric	value
registration_ms	1048
full_cycle_ms	11715
prepared_message_ms_1	15090
prepared_message_ms_2	2250
prepared_message_ms_3	2250
prepared_message_ms_4	2190
prepared_message_ms_5	2340
prepared_message_ms_6	2390
prepared_message_ms_7	2240
prepared_message_ms_8	2290
prepared_message_ms_9	2340
prepared_message_ms_10	2230
prepared_min_ms	2190
prepared_median_ms	2250
prepared_p90_ms	2340
prepared_max_ms	2390
prepared_completed_esp	9
prepared_completed_receiver	9
receiver_full	1
receiver_prepared	9
receiver_missing	1
receiver_duplicates	0
bench_client_id	prepared_message_bench_v6
receiver_uid	fd4e309f-1619-4cbb-ada7-c69134901490
sender_uid	bb28fcdf-3872-4214-adb1-9ee63f05f85e
prepared_block_reserved	10
prepared_block_remaining	1
