metric	before_669ccdc	after_static_arp	hold600_control
prepared_delivery	44/100	29/100	6/20
full_delivery	5/5	6/5 (dup)	1/1
warm_median_us	640476	650477	~
first_prepared_median_us	15100453	730476	~
used_static_arp_hits	0	32	6
arp_fallback_hits	0	0	0
wifi_fallback_hits	0	0	0
bssid_hits	46	32	6
static_ip_hits	46	32	6
dhcp_skipped_hits	46	32	6
missing	56	71	14
duplicates	0	1	0
out_of_order	0	0	0
post_send_hold_ms	300	300	600
registration_us	13962906	251137	253771
full_median_us	4124003	3471545	3437457
aether_sha	157aadbec8e7b852d0f89274307ff7cb8103e5f7	157aadbec8e7b852d0f89274307ff7cb8103e5f7	157aadbec8e7b852d0f89274307ff7cb8103e5f7
