metric	value
registration_us	13962906
full_us_1	5637828
full_us_2	4124003
full_us_3	4014012
full_us_4	4104022
full_us_5	4184009
full_min_us	4014012
full_median_us	4124003
full_max_us	5637828
first_prepared_us	15100453
warm_prepared_n	46
warm_prepared_min_us	610471
warm_prepared_median_us	640476
warm_prepared_p90_us	690482
warm_prepared_p99_us	730476
warm_prepared_max_us	730476
all_prepared_n	47
all_prepared_min_us	610471
all_prepared_median_us	640476
all_prepared_p90_us	690531
all_prepared_p99_us	15100453
all_prepared_max_us	15100453
delivery_full	5/5
delivery_prepared	44/100
delivery_final	1/1
delivery_missing	56
delivery_duplicates	0
delivery_out_of_order	0
cache_bssid_hits	46
cache_static_ip_hits	46
cache_dhcp_skip_hits	46
cache_fallbacks	0
post_send_hold_ms	300
receiver_uid	5aade50f-00d9-4624-b097-e203cdcf1e38
bench_client_id	prepared_wifi_cache_5x20_v1
aether_sha	157aadbec8e7b852d0f89274307ff7cb8103e5f7
warm_prepared_raw_us	640479 630478 630470 650471 650469 650471 640475 640476 640471 620471 660484 630474 640472 640470 630470 640477 670485 730467 630481 650412 680482 610471 650477 630471 630478 680473 620470 620475 650478 630477 690531 630479 650513 640481 640414 630477 690482 630481 730472 630485 640474 630472 670477 730476 680475 660470
