name	test_id	n	delivered	plan	connect_med	txdone_med	teardown_med	cycle_med	p90	max	wifi_ready	encode	sendto	nonce	pre	post_mode	auth	cb_seen	cb_timeout	missing	duplicates	ooo	samples
VAL20_PRE200	101	20	19	20	127	1	77	420	440	490	20	20	20	20	200	1	3	20	0	1	0	0	19
VAL100_PRE200	102	100	100	100	127	2	86	420	490	680	100	100	100	100	200	1	3	100	0	0	0	0	100
VAL200_PRE200	103	200	189	200	127	1	97	430	490	780	200	200	200	200	200	1	3	200	0	11	0	0	189
PRE150_S20	140	20	20	20	115	4	76	350	420	500	20	20	20	20	150	1	3	20	0	0	0	0	20
PRE100_S20	130	20	20	20	128	0	85	320	350	390	20	20	20	20	100	1	3	20	0	0	0	0	20
PRE75_S20	125	20	20	20	134	4	76	280	320	430	20	20	20	20	75	1	3	20	0	0	0	0	20
PRE50_S20	120	20	16	20	133	6	71	270	330	390	20	20	20	20	50	1	3	20	0	4	0	0	16
PRE25_S20	115	20	20	20	114	1	92	230	290	640	20	20	20	20	25	1	3	20	0	0	0	0	20
PRE0_S20	110	20	3	20	126	0	59	220	230	240	20	20	20	20	0	1	3	20	0	17	0	0	4
PRE25_N50	201	50	37	50	128	13	59	230	250	310	50	50	50	50	25	1	3	50	0	13	0	0	37
PRE25_VAL200	202	200	182	200	131	20	58	230	270	390	200	200	200	200	25	1	3	200	0	18	0	0	182
PRE10_N50	203	50	21	50	143	0	61	220	250	290	50	50	50	50	10	1	3	50	0	29	0	0	22
PRE0_N50	204	50	7	50	130	0	85	220	250	1060	50	50	50	50	0	1	3	49	1	43	0	0	8
