Variant	Association	Auth	PRE	POST	Delivered	N	ConnectMed	CycleMed	p90	max	WifiReady	Encode	Sendto	CbAny	CbMatch	PostMode
BASE	0x1a	7	200	300	20/20	20	262	840	920	960	20	20	20	0	0	0
A1_BSSID	0x1b	7	200	300	19/20	20	278	840	870	920	20	20	20	0	0	0
A2_FAST_SCAN	0x1e	7	200	300	20/20	20	270	850	880	1010	20	20	20	0	0	0
A3_BSSID_FAST_SCAN	0x1f	7	200	300	19/20	20	276	860	880	890	20	20	20	0	0	0
AUTH2_H2E	0x1a	7	200	300	18/20	20	269	840	910	950	20	20	20	0	0	0
AUTH3_WPA2	0x1a	7	200	300	20/20	20	258	850	920	940	20	20	20	0	0	0
AUTH3B_WPA3SAE_OFF	0x1a	7	200	300	20/20	20	253	830	900	940	20	20	20	0	0	0
AUTH3B_WPA3SAE_OFF_VERIFIED	0x1a	3	200	300	20/20	20	128	710	810	910	20	20	20	0	0	0
R0	0x1a	3	200	300	20/20	20	149	730	760	760	20	20	20	0	0	0
R1	0x1a	3	200	300	20/20	20	149	720	750	780	20	20	20	0	0	0
R3	0x1a	3	200	300	20/20	20	153	740	750	830	20	20	20	0	0	0
CB0	0x9a	3	200	0	18/20	20	154	530	550	590	20	20	20	18	0	1
PRE_200	0x1a	3	200	300	13/20	20	151	740	750	760	20	20	20	0	0	0
PRE_200	0x1a	3	200	300	19/20	20	144	730	750	760	20	20	20	0	0	0
PRE_200_R	0x1a	3	200	300	20/20	20	123	700	750	760	20	20	20	0	0	0
PRE_150	0x1a	3	150	300	14/20	20	124	640	670	740	20	20	20	0	0	0
POST_300	0x1a	3	200	300	20/20	20	120	700	740	780	20	20	20	0	0	0
POST_250	0x1a	3	200	250	20/20	20	121	640	690	700	20	20	20	0	0	0
POST_200	0x1a	3	200	200	20/20	20	132	620	650	790	20	20	20	0	0	0
POST_150	0x1a	3	200	150	19/20	20	124	540	550	580	20	20	20	0	0	0
POST_150_R	0x1a	3	200	150	20/20	20	125	550	580	590	20	20	20	0	0	0
POST_100	0x1a	3	200	100	13/20	20	113	490	510	570	20	20	20	0	0	0
2D_p175_q175	0x1a	3	175	175	18/20	20	127	530	550	560	20	20	20	0	0	0
2D_p225_q125	0x1a	3	225	125	19/20	20	127	530	550	580	20	20	20	0	0	0
2D_p150_q200	0x1a	3	150	200	20/20	20	125	540	580	600	20	20	20	0	0	0
VAL100_PRIMARY	0x1a	3	200	150	94/100	100	131	560	620	900	100	100	100	0	0	0
VAL100_SECONDARY	0x1a	3	150	200	97/100	100	131	560	610	650	100	100	100	0	0	0
VAL100_SAFE_200_300	0x1a	3	200	300	98/100	100	138	730	770	930	100	100	100	0	0	0
VAL100_SAFE_200_300_R	0x1a	3	200	300	96/100	100	124	720	750	840	100	100	100	0	0	0
VAL100_MID_200_200	0x1a	3	200	200	91/100	100	125	620	660	790	100	100	100	0	0	0
VAL100_FAST_200_150	0x1a	3	200	150	79/100	100	122	560	600	1210	100	100	100	0	0	0
VAL100_FAST_150_200	0x1a	3	150	200	84/100	100	118	540	580	690	100	100	100	0	0	0
VAL200	0x1a	3	200	300	198/200	200	125	710	750	870	200	200	200	0	0	0
D1_AMPDU_TX_OFF	0x3a	3	200	300	198/200	200	125	710	750	870	20	20	20	0	0	0
STORAGE_RAM	0x5a	3	200	300	198/200	200	125	710	750	870	20	20	20	0	0	0
D1_AMPDU_TX_OFF_RERUN	0x3a	3	200	300	17/20	20	122	710	750	770	20	20	20	0	0	0
STORAGE_RAM_RERUN	0x5a	3	200	300	19/20	20	112	670	720	770	20	20	20	0	0	0
