variant	completed	min	median	max	raw_times	verdict
0	10	29669	30114	31538	31538,29739,29729,30089,30139,30159,30159,29889,29669,30139	baseline ~30s/cycle
1	10	3359	3469	3629	3509,3519,3359,3579,3399,3459,3479,3459,3629,3439	canonical ~3.5s/cycle
2	10	3042	3532	3792	3792,3522,3562,3562,3482,3542,3632,3412,3092,3042	canonical+cooldown ~3.5s (cooldown outside timer)
10	10	3399	3484	4189	4189,3469,3399,3459,3499,3629,3429,3419,3729,3759	canonical+AMPDU_OFF ~3.5s
11	10	3429	3494	3579	3578,3509,3579,3459,3429,3499,3489,3579,3479,3459	canonical+SCAN_THRESHOLD ~3.5s
12	10	3319	3469	3569	3469,3469,3569,3479,3479,3429,3449,3479,3329,3319	canonical+CONNECT_RETRY10 ~3.5s
13	10	3409	3479	3559	3440,3469,3489,3509,3559,3469,3469,3559,3409,3519	canonical+FAIL_DISCONNECT ~3.5s
14	0			 		canonical+BSSID_CACHE hung after WIFI_BENCH_START
17	10	3349	3389	3490	3490,3349,3459,3399,3379,3379,3399,3369,3479,3369	
18	10	3349	3394	3479	3448,3409,3429,3479,3409,3349,3379,3379,3379,3379	
